,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
0,0,0.827377243866,-0.594732264529,0.432793365679,-0.473673609298,-0.502445171436,1,0,1
1,1,-1.56610692589,0.635318683157,0.432793365679,-0.473673609298,0.786845293588,0,0,0
2,1,0.827377243866,-0.287219527608,-0.47454519625,-0.473673609298,-0.488854257585,0,0,1
3,1,-1.56610692589,0.404684130466,0.432793365679,-0.473673609298,0.420730236069,0,0,1
4,0,0.827377243866,0.404684130466,-0.47454519625,-0.473673609298,-0.486337421687,1,0,1
5,0,0.827377243866,0.076156326098,-0.47454519625,-0.473673609298,-0.478116428909,1,1,0
6,0,-1.56610692589,1.86536963084,-0.47454519625,-0.473673609298,0.395813560675,1,0,1
7,0,0.827377243866,-2.13229594914,2.24747048954,0.767629878598,-0.224083121082,1,0,1
8,1,0.827377243866,-0.210341343377,-0.47454519625,2.0089333665,-0.424256140685,0,0,1
9,1,-0.369364841012,-1.20975773837,0.432793365679,-0.473673609298,-0.0429555020886,0,0,0
10,1,0.827377243866,-1.97853958068,0.432793365679,0.767629878598,-0.312172377523,0,0,1
11,1,-1.56610692589,2.17288236777,-0.47454519625,-0.473673609298,-0.113845708735,0,0,1
12,0,0.827377243866,-0.74848863299,-0.47454519625,-0.473673609298,-0.486337421687,1,0,1
13,0,0.827377243866,0.712196867388,0.432793365679,5.73284383019,-0.0187093117785,1,0,1
14,0,0.827377243866,-1.20975773837,-0.47454519625,-0.473673609298,-0.490279793438,0,0,1
15,1,-0.369364841012,1.94224781507,-0.47454519625,-0.473673609298,-0.326266658554,0,0,1
16,0,0.827377243866,-2.13229594914,3.15480905146,0.767629878598,-0.0619988892297,1,1,0
17,1,-0.369364841012,0.076156326098,-0.47454519625,-0.473673609298,-0.386670720113,1,0,1
18,0,0.827377243866,0.0971713935445,0.432793365679,-0.473673609298,-0.28599728418,0,0,1
19,1,0.827377243866,-0.139943312607,-0.47454519625,-0.473673609298,-0.502948538616,0,0,0
20,0,-0.369364841012,0.404684130466,-0.47454519625,-0.473673609298,-0.124919786688,1,0,1
21,1,-0.369364841012,0.327805946236,-0.47454519625,-0.473673609298,-0.386670720113,1,0,1
22,1,0.827377243866,-1.13287955414,-0.47454519625,-0.473673609298,-0.48675622318,0,1,0
23,1,-1.56610692589,-0.133463159147,-0.47454519625,-0.473673609298,0.0663597415848,1,0,1
24,0,0.827377243866,-1.67102684376,2.24747048954,0.767629878598,-0.224083121082,0,0,1
25,1,0.827377243866,0.635318683157,0.432793365679,5.73284383019,-0.01644415947,0,0,1
26,0,0.827377243866,0.076156326098,-0.47454519625,-0.473673609298,-0.502948538616,1,0,0
27,0,-1.56610692589,-0.825366817221,2.24747048954,2.0089333665,4.64700107653,1,0,1
28,1,0.827377243866,-0.139943312607,-0.47454519625,-0.473673609298,-0.489776426258,0,1,0
29,0,0.827377243866,0.076156326098,-0.47454519625,-0.473673609298,-0.489442190451,1,0,1
30,0,-1.56610692589,0.789075051618,-0.47454519625,-0.473673609298,-0.0902720169771,1,0,0
31,1,-1.56610692589,-0.139943312607,0.432793365679,-0.473673609298,2.30172882079,0,0,0
32,1,0.827377243866,-0.139943312607,-0.47454519625,-0.473673609298,-0.492377827843,0,1,0
33,0,-0.369364841012,2.78790784161,-0.47454519625,-0.473673609298,-0.43700743808,1,0,1
34,0,-1.56610692589,-0.133463159147,0.432793365679,-0.473673609298,1.00606170033,1,0,0
35,0,-1.56610692589,0.942831420079,0.432793365679,-0.473673609298,0.398582080163,1,0,1
36,1,0.827377243866,0.076156326098,-0.47454519625,-0.473673609298,-0.50286397293,1,0,0
37,0,0.827377243866,-0.67161044876,-0.47454519625,-0.473673609298,-0.486337421687,1,0,1
38,0,0.827377243866,-0.902245001451,1.34013192761,-0.473673609298,-0.28599728418,0,0,1
39,1,0.827377243866,-1.20975773837,0.432793365679,-0.473673609298,-0.422073540594,0,0,0
40,0,0.827377243866,0.789075051618,0.432793365679,-0.473673609298,-0.457645492446,0,0,1
41,0,-0.369364841012,-0.210341343377,0.432793365679,-0.473673609298,-0.225593222621,0,0,1
